"","mu","Ne","Log.likelihood"
"386",6.5e-06,32,-3882.14131785919
"387",7e-06,32,-3913.30237783458
"388",7.5e-06,32,-3946.76207405658
"389",8e-06,32,-3982.22372976822
"390",8.5e-06,32,-4019.4446825926
"391",9e-06,32,-4058.2239192513
"392",1e-06,33,-4011.44370632651
"393",1.5e-06,33,-3894.17339708663
"394",2e-06,33,-3829.78965775684
"395",2.5e-06,33,-3794.38570145719
"396",3e-06,33,-3777.31280787551
"397",3.5e-06,33,-3772.89062536933
"398",4e-06,33,-3777.72849027378
"399",4.5e-06,33,-3789.63935505249
"400",5e-06,33,-3807.12991904527
"401",5.5e-06,33,-3829.13507170986
"402",6e-06,33,-3854.86837485128
"403",6.5e-06,33,-3883.73259866763
"404",7e-06,33,-3915.26350702357
"405",7.5e-06,33,-3949.09308400909
"406",8e-06,33,-3984.92465287109
"407",8.5e-06,33,-4022.5155512368
"408",9e-06,33,-4061.66476583209
"409",1e-06,34,-4009.32026900197
"410",1.5e-06,34,-3892.38894163847
"411",2e-06,34,-3828.34421493459
"412",2.5e-06,34,-3793.27930201418
"413",3e-06,34,-3776.54548256926
"414",3.5e-06,34,-3772.46240496102
"415",4e-06,34,-3777.63940552859
"416",4.5e-06,34,-3789.88943673965
"417",5e-06,34,-3807.71919793762
"418",5.5e-06,34,-3830.06357858457
"419",6e-06,34,-3856.13614048914
"420",6.5e-06,34,-3885.33965385326
"421",7e-06,34,-3917.20988254577
"422",7.5e-06,34,-3951.37881066069
"423",8e-06,34,-3987.54976144836
"424",8.5e-06,34,-4025.4800725405
"425",9e-06,34,-4064.96873066633
"426",1e-06,35,-4007.52802499868
"427",1.5e-06,35,-3890.90698567772
"428",2e-06,35,-3827.17257623587
"429",2.5e-06,35,-3792.41800980079
"430",3e-06,35,-3775.99456606799
"431",3.5e-06,35,-3772.2218934026
"432",4e-06,35,-3777.70932814756
"433",4.5e-06,35,-3790.26982277439
"434",5e-06,35,-3808.41007663027
"435",5.5e-06,35,-3831.06497918086
"436",6e-06,35,-3857.44809223891
"437",6.5e-06,35,-3886.96218601017
"438",7e-06,35,-3919.14302436701
"439",7.5e-06,35,-3953.62259140722
"440",8e-06,35,-3990.10421038527
"441",8.5e-06,35,-4028.34521893661
"442",9e-06,35,-4068.14460379415
"443",1e-06,36,-4006.04844414039
"444",1.5e-06,36,-3889.71068207586
"445",2e-06,36,-3826.25957763621
"446",2.5e-06,36,-3791.78834395274
"447",3e-06,36,-3775.64826072512
"448",3.5e-06,36,-3772.15897632183
"449",4e-06,36,-3777.92982708931
"450",4.5e-06,36,-3790.77376550284
"451",5e-06,36,-3809.19749091346
"452",5.5e-06,36,-3832.1358927906
"453",6e-06,36,-3858.80253295042
"454",6.5e-06,36,-3888.60018160241
"455",7e-06,36,-3921.06460262272
"456",7.5e-06,36,-3955.82778011285
"457",8e-06,36,-3992.59303733086
"458",8.5e-06,36,-4031.11771191581
